"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2000","2000",31,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2002","2002",32.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2004","2004",31.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2006","2006",37.3,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2008","2008",38.8,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2010","2010",36.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2012","2012",35.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2014","2014",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2016","2016",40.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","EST","Estonia","2018","2018",39.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2000","2000",27.8,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2002","2002",28.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2004","2004",28.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2006","2006",30.6,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2008","2008",31.6,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2010","2010",31.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2012","2012",29.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2014","2014",32.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2016","2016",32.5,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","EST","Estonia","2018","2018",31.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2002","2002",25.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2004","2004",27.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2006","2006",26.7,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2008","2008",29.1,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2010","2010",27.2,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2013","2013",29,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2014","2014",30.9,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2016","2016",31,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","ISR","Israel","2017","2017",28.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2002","2002",38.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2004","2004",36.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2006","2006",37.6,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2008","2008",39,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2010","2010",41.1,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2013","2013",43.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2014","2014",42.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2016","2016",41.9,"B","Break"
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","ISR","Israel","2017","2017",42.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2002","2002",31,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2004","2004",32,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2006","2006",32,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2008","2008",33.9,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2010","2010",34.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2013","2013",36.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2014","2014",36.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2016","2016",36.5,"B","Break"
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","ISR","Israel","2017","2017",35.4,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","RUS","Russia","2005","2005",25.4,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","RUS","Russia","2005","2005",31.1,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","RUS","Russia","2005","2005",28.3,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","SVN","Slovenia","2007","2007",29.6,,
"BODYOVSR","Overweight population, self-reported","PERWOMTF","% of females","SVN","Slovenia","2014","2014",30.2,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","SVN","Slovenia","2007","2007",47.9,,
"BODYOVSR","Overweight population, self-reported","PERMANTH","% of males","SVN","Slovenia","2014","2014",42.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","SVN","Slovenia","2007","2007",38.7,,
"BODYOVSR","Overweight population, self-reported","TOTPOPTX","% of total population","SVN","Slovenia","2014","2014",36.4,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUS","Australia","2001","2001",17,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUS","Australia","2004","2004",17,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUS","Australia","2007","2007",20.3,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUS","Australia","2017","2017",18.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUS","Australia","2001","2001",15.7,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUS","Australia","2004","2004",19,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUS","Australia","2007","2007",22.3,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUS","Australia","2017","2017",20.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2001","2001",16.3,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2004","2004",18,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2007","2007",21.3,"D","Difference in methodology"
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUS","Australia","2017","2017",19.5,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUT","Austria","2006","2006",12.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUT","Austria","2008","2008",13.2,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","AUT","Austria","2014","2014",13.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUT","Austria","2006","2006",12,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUT","Austria","2008","2008",12.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","AUT","Austria","2014","2014",16,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2006","2006",12.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2008","2008",12.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","AUT","Austria","2014","2014",14.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","BEL","Belgium","2001","2001",12.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","BEL","Belgium","2004","2004",13.5,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","BEL","Belgium","2008","2008",14.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","BEL","Belgium","2013","2013",13.9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","BEL","Belgium","2001","2001",11.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","BEL","Belgium","2004","2004",11.9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","BEL","Belgium","2008","2008",13.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","BEL","Belgium","2013","2013",13.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2001","2001",12.1,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2004","2004",12.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2008","2008",14,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","BEL","Belgium","2013","2013",13.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2001","2001",13.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2003","2003",13.9,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2005","2005",14.2,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2007","2007",15.2,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2008","2008",15.6,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2009","2009",16.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2010","2010",15.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2011","2011",16.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2012","2012",17.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2013","2013",16.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2014","2014",18.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2015","2015",18,"B","Break"
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2016","2016",18.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CAN","Canada","2017","2017",19,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2001","2001",15.9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2003","2003",15.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2005","2005",16.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2007","2007",17.2,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2008","2008",17.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2009","2009",18.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2010","2010",19.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2011","2011",19.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2012","2012",18.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2013","2013",19.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2014","2014",21.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2015","2015",20.5,"B","Break"
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2016","2016",21.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CAN","Canada","2017","2017",20.5,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2001","2001",14.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2003","2003",14.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2005","2005",15.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2007","2007",16.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2008","2008",16.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2009","2009",17.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2010","2010",17.5,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2011","2011",17.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2012","2012",17.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2013","2013",18.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2014","2014",19.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2015","2015",19.2,"B","Break"
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2016","2016",19.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CAN","Canada","2017","2017",19.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2002","2002",16.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2008","2008",18.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","CZE","Czech Republic","2014","2014",18.2,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2002","2002",13.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2008","2008",18.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","CZE","Czech Republic","2014","2014",19.3,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2002","2002",14.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2008","2008",18.3,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","CZE","Czech Republic","2014","2014",18.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2000","2000",9.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2005","2005",11.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2010","2010",13.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2013","2013",14,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2014","2014",15.6,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DNK","Denmark","2017","2017",16.6,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2000","2000",9.8,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2005","2005",11,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2010","2010",13.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2013","2013",14.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2014","2014",14.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DNK","Denmark","2017","2017",17.1,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2000","2000",9.5,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2005","2005",11.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2010","2010",13.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2013","2013",14.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2014","2014",14.9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DNK","Denmark","2017","2017",16.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2000","2000",11,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2001","2001",10.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2002","2002",11.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2003","2003",11.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2004","2004",14,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2005","2005",13.5,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2006","2006",14.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2007","2007",14,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2008","2008",16,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2009","2009",14,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2010","2010",15.5,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2011","2011",16,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2012","2012",15.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2013","2013",14.4,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2014","2014",17.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2015","2015",18.9,"B; D","Break; Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2016","2016",17,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2017","2017",20,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FIN","Finland","2018","2018",20,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2000","2000",11.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2001","2001",12.8,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2002","2002",12,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2003","2003",14,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2004","2004",14,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2005","2005",14.9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2006","2006",14.6,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2007","2007",16,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2008","2008",15.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2009","2009",16.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2010","2010",15.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2011","2011",17.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2012","2012",16.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2013","2013",17.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2014","2014",18.9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2015","2015",18.7,"B; D","Break; Difference in methodology"
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2016","2016",21,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2017","2017",19,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FIN","Finland","2018","2018",21,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2000","2000",11.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2001","2001",11.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2002","2002",11.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2003","2003",12.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2004","2004",14,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2005","2005",14.1,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2006","2006",14.3,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2007","2007",14.9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2008","2008",15.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2009","2009",14.9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2010","2010",15.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2011","2011",16.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2012","2012",15.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2013","2013",15.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2014","2014",18.3,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2015","2015",18.8,"B; D","Break; Difference in methodology"
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2016","2016",19,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2017","2017",19,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FIN","Finland","2018","2018",20,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2000","2000",9,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2002","2002",9.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2004","2004",9.4,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2006","2006",10.4,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2008","2008",12.7,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2010","2010",13.4,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2012","2012",14.6,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","FRA","France","2014","2014",15.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2000","2000",9,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2002","2002",9.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2004","2004",9.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2006","2006",10.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2008","2008",11.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2010","2010",12.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2012","2012",14.5,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","FRA","France","2014","2014",15.3,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2000","2000",9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2002","2002",9.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2004","2004",9.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2006","2006",10.5,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2008","2008",12.2,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2010","2010",12.9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2012","2012",14.5,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","FRA","France","2014","2014",15.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2003","2003",12.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2005","2005",12.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2008","2008",15.6,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2009","2009",13.8,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2013","2013",14.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2014","2014",16.1,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","DEU","Germany","2017","2017",14.6,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2003","2003",13.6,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2005","2005",14.4,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2008","2008",16.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2009","2009",15.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2013","2013",17.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2014","2014",16.7,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","DEU","Germany","2017","2017",18.1,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2003","2003",12.9,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2005","2005",13.6,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2008","2008",15.8,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2009","2009",14.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2013","2013",15.7,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2014","2014",16.4,,
"BODYOBSR","Obese population, self-reported","TOTPOPTX","% of total population","DEU","Germany","2017","2017",16.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","GRC","Greece","2006","2006",18.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","GRC","Greece","2008","2008",17.6,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","GRC","Greece","2009","2009",17.3,,
"BODYOBSR","Obese population, self-reported","PERWOMTF","% of females","GRC","Greece","2014","2014",16.1,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","GRC","Greece","2006","2006",14.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","GRC","Greece","2008","2008",17.6,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","GRC","Greece","2009","2009",17.3,,
"BODYOBSR","Obese population, self-reported","PERMANTH","% of males","GRC","Greece","2014","2014",18.1,,
